id,zip
13310,92064
13317,92106
13320,92103
13324,92113
13390,92111
13399,92101
13410,92065
13500,92008
13563,91902
13571,92081
13574,92027
13596,92130
13605,92128
13628,92123
13649,92008
13655,92126
13656,92054
13715,91932
13720,91910
13732,92024
13765,92103
13768,92104
13797,92014
13800,92081
13820,92109
13822,91910
13826,92123
13847,92037
13850,92008
13853,92102
13854,92020
13882,92121
13917,92106
13923,91945
13935,92037
13957,91911
13962,92067
13968,91950
14006,92122
14013,92111
14015,92111
14051,92078
14096,92113
14098,92154
14100,92056
14126,92126
14159,92029
14160,92029
14206,92037
14209,92103
14229,92115
14243,91942
14254,92154
14261,92139
14263,92129
14289,92121
14290,92037
14304,92008
14323,92101
14330,92113
14337,92117
14342,92078
14369,92154
14423,92008
14431,92110
14442,92139
14450,92154
14458,92128
14462,92128
14465,92111
14469,92121
14473,92113
14487,92020
14502,92037
14508,91942
14509,91977
14514,92106
14519,92108
14521,92110
14531,92109
14547,92081
14585,92110
14586,92024
14590,92011
14607,92154
14608,92024
14610,92024
14621,92054
14654,92154
14682,91932
14684,92103
14694,92173
14696,92101
14726,92120
14730,92014
14785,92110
14801,92107
14823,92054
14824,91945
14875,92101
14876,92075
14912,91902
14914,92081
14929,92101
14940,92126
14941,92119
14942,92121
14947,92107
14969,91942
14980,92113
14981,92111
14983,92101
14991,92026
15009,92081
15037,92122
15043,92129
15048,92114
15051,92115
15054,92129
15056,92127
15057,92054
15078,92108
15114,92014
15118,92014
15120,92109
15121,92128
15129,92101
15138,92108
15153,92119
15167,92054
15168,92054
15177,92025
15182,92111
15190,92113
15200,92113
15212,92008
15230,92020
15241,92114
15267,92109
15281,92111
15282,92103
15284,92117
15304,92118
15307,91911
15311,92105
15315,92056
15323,91911
15333,92115
15334,92115
15357,92118
15404,92118
15450,92101
15453,92131
15454,92101
15456,91910
15463,92117
15478,92101
15479,92123
15499,92121
15527,91942
15591,92131
15605,92130
15607,92020
15610,92054
15618,92154
15619,92108
15659,91911
15660,92110
15681,92037
15688,92109
15710,91910
15717,91911
15723,92037
15725,92064
15745,92020
15798,92129
15805,92024
15806,92111
15809,92109
15810,91942
15833,92154
15844,91977
15849,92111
15881,91942
15888,92173
15894,92101
15897,92103
15911,92026
15942,92103
15951,92020
15980,92120
15981,92037
15998,91945
16000,92037
16042,92071
16060,91911
16061,92025
16062,92065
16063,91950
16080,91915
16095,92024
16107,91977
16135,92121
16136,92121
16148,92065
16164,92027
16177,92117
16181,92024
16184,92106
16193,92024
16231,92107
16241,92124
16247,92075
16280,92109
16281,91977
16282,92056
16288,91915
16300,92064
16302,92111
16303,92113
