geoid,ctblockgroup,centroid_lon,centroid_lat,medhinc_cy,avghinc_cy,gini_fy,totpop_cy,n01_bus,s23_emp,n37_sales
060730075023,75023,6254712.848505531,1853272.757927665,63923,80433,33.5,1057,113.0,203.0,8721.0
060730076011,76011,6263281.761323319,1864403.1166760575,92411,131477,32.3,599,52.0,4842.0,2920.0
060730076012,76012,6256278.423873081,1861598.019038867,84281,112618,33.0,937,101.0,875.0,6175.0
060730076013,76013,6253502.808550531,1866581.7091507574,63979,107107,39.9,457,73.0,67.0,8179.0
060730076014,76014,6253501.115204308,1868485.348402846,107050,164840,33.0,416,33.0,462.0,450.0
060730076021,76021,6254477.328724406,1861503.5621785931,88647,112478,32.7,650,71.0,452.0,22998.0
060730076022,76022,6254002.625784709,1858502.0595180064,94747,124306,25.6,512,25.0,1387.0,11512.0
060730076023,76023,6253887.350716717,1859872.129360458,104705,117190,32.2,798,36.0,18.0,2528.0
060730077011,77011,6256436.1777383,1869080.2734213148,114543,176593,29.9,1198,37.0,36.0,0.0
060730077012,77012,6258004.492568124,1866688.875209471,112260,174321,34.0,1020,31.0,128.0,3258.0
060730077013,77013,6257345.272181351,1869273.11109622,117270,131501,27.1,703,14.0,12.0,0.0
060730077014,77014,6257735.296358786,1868784.6558029274,74078,99796,37.3,908,22.0,21.0,0.0
060730077021,77021,6258772.847762399,1866855.4163850537,93580,157406,34.9,929,30.0,46.0,0.0
060730077022,77022,6258921.249131494,1869410.4880999804,105499,137520,32.8,994,16.0,6.0,0.0
060730077023,77023,6259722.461839803,1869958.7045732562,101024,126868,30.4,1150,15.0,14.0,0.0
060730077024,77024,6258223.744242685,1869221.8142200618,68676,98462,39.3,999,27.0,29.0,0.0
060730078001,78001,6263771.246498065,1873173.9336743027,50418,69317,35.6,1885,153.0,719.0,3594.0
060730078002,78002,6262556.422687424,1875339.7505532273,116916,146014,25.3,919,87.0,114.0,7931.0
060730078003,78003,6261218.625474612,1872073.394269463,102827,115580,24.8,1607,11.0,3.0,0.0
060730078004,78004,6260707.875703022,1873329.1754235846,69368,91707,31.7,732,142.0,277.0,618.0
060730078005,78005,6260738.16183244,1874709.218172815,155261,196587,19.8,580,9.0,193.0,0.0
060730079051,79051,6252559.423926371,1872179.880888976,100878,113768,34.7,1098,114.0,352.0,14269.0
060730079052,79052,6254165.714780357,1872257.8048284524,101586,122961,29.1,1386,265.0,340.0,17703.0
