id,bg_geoid,ctblockgroup
10910,060730011002,11002.0
10913,060730079102,79102.0
10924,060730100182,100182.0
10925,060730061002,61002.0
10934,060730085112,85112.0
10981,060730170226,170226.0
10986,060730162021,162021.0
10989,060730219001,219001.0
10990,060730170091,170091.0
11045,060730089022,89022.0
11055,,111002.0
11068,060730089022,89022.0
11070,060730032041,32041.0
11077,060730178111,178111.0
11082,,119021.0
11090,060730203051,203051.0
11091,060730091023,91023.0
11112,060730079071,79071.0
11165,060730205001,205001.0
11174,060730139071,139071.0
11183,060730122001,122001.0
11199,060730055001,55001.0
11243,060730198111,198111.0
11247,060730127001,127001.0
11249,060730091081,91081.0
11267,060730085112,85112.0
11274,060730166152,166152.0
11280,060730080064,80064.0
11291,060730085073,85073.0
11311,060730191033,191033.0
11329,060730013012,13012.0
11331,060730215021,215021.0
11344,060730013011,13011.0
11348,060730083501,83501.0
11349,060730053012,53012.0
11354,060730083762,83762.0
11356,060730024011,24011.0
11397,060730204043,204043.0
11405,060730162021,162021.0
11406,060730162022,162022.0
11430,060730175021,175021.0
11445,060730089022,89022.0
11462,060730096021,96021.0
11463,060730208061,208061.0
11464,060730208133,208133.0
11468,060730053021,53021.0
11474,060730083501,83501.0
11478,060730010003,10003.0
11480,060730175012,175012.0
11498,060730085111,85111.0
11506,060730162021,162021.0
11537,060730089022,89022.0
11564,060730083462,83462.0
11565,060730203131,203131.0
11568,060730086004,86004.0
11569,060730202143,202143.0
11575,060730083701,83701.0
11605,060730200294,200294.0
11633,060730133272,133272.0
11637,060730081013,81013.0
11640,060730166161,166161.0
11642,060730002012,2012.0
11660,060730083391,83391.0
11681,060730221012,221012.0
11700,060730198111,198111.0
11706,060730200432,200432.0
11711,060730041013,41013.0
11724,060730159011,159011.0
11731,060730091023,91023.0
11733,060730162021,162021.0
11742,060730083491,83491.0
11749,060730191051,191051.0
11760,060730093074,93074.0
11773,,117002.0
11787,060730202092,202092.0
11795,060730083582,83582.0
11815,060730051022,51022.0
11844,060730159021,159021.0
11846,060730203131,203131.0
11850,060730085012,85012.0
11856,060730014002,14002.0
11857,060730051012,51012.0
11858,060730191051,191051.0
11870,060730127002,127002.0
11880,060730083501,83501.0
11881,060730027123,27123.0
11907,060730065002,65002.0
11919,060730170181,170181.0
11955,060730076011,76011.0
11968,060730170482,170482.0
11988,060730203131,203131.0
12007,060730170523,170523.0
12009,060730144001,144001.0
12011,060730207112,207112.0
12015,060730053011,53011.0
12035,060730085044,85044.0
12037,060730039022,39022.0
12048,060730215021,215021.0
12067,,118011.0
12071,060730040004,40004.0
12074,060730083792,83792.0
12077,060730021001,21001.0
12088,060730080031,80031.0
12090,060730085113,85113.0
12112,060730221024,221024.0
12134,060730083692,83692.0
12151,060730093074,93074.0
12167,060730002012,2012.0
12171,060730134162,134162.0
12209,060730078004,78004.0
12212,060730033012,33012.0
12246,060730083462,83462.0
12254,060730133262,133262.0
12267,060730170412,170412.0
12275,060730176013,176013.0
12288,060730085112,85112.0
12299,060730126003,126003.0
12344,060730083501,83501.0
12356,060730082011,82011.0
12359,060730184003,184003.0
12362,060730074022,74022.0
12365,060730081011,81011.0
12376,060730079052,79052.0
12390,060730083391,83391.0
12392,060730054021,54021.0
12426,060730135033,135033.0
12432,060730054012,54012.0
12433,060730162021,162021.0
